date,generated_power_kw
2024-02-07 15:00:00,2882.3406
2024-02-08 02:00:00,2776.8061
2024-02-08 03:00:00,2859.7307
2024-02-08 04:00:00,2822.1077
2024-02-09 02:00:00,2005.9706
2024-02-09 04:00:00,2818.3444
2024-02-09 05:00:00,2940.5742
2024-02-09 06:00:00,2852.2145
2024-02-09 17:00:00,2823.7859
2024-02-09 18:00:00,2927.9754
2024-02-09 19:00:00,2874.1014
2024-02-10 06:00:00,2710.3849
2024-02-10 07:00:00,2954.9119
2024-02-10 08:00:00,2775.9501
2024-02-10 10:00:00,2059.5733
2024-02-10 19:00:00,2860.7503
2024-02-10 20:00:00,2962.5103
2024-02-10 21:00:00,2949.8447
2024-02-10 22:00:00,2717.1814
2024-02-11 07:00:00,2684.0389
2024-02-12 14:00:00,2019.1516
2024-02-13 04:00:00,2834.7809
2024-02-13 05:00:00,2716.8042
2024-02-13 18:00:00,2822.9876
2024-02-13 19:00:00,2824.6611
2024-02-16 01:00:00,2019.5456
2024-02-16 17:00:00,2920.693
2024-02-16 18:00:00,2921.894
2024-02-17 01:00:00,2782.8494
2024-02-17 13:00:00,2689.6781
2024-02-17 15:00:00,2813.4818
2024-02-20 23:00:00,2808.3628
2024-02-21 00:00:00,2879.6863
2024-02-21 01:00:00,2799.6825
2024-02-22 16:00:00,2018.105
2024-02-24 07:00:00,2754.425
2024-02-24 20:00:00,1997.4542
2024-02-24 22:00:00,2703.4781
2024-02-24 23:00:00,2766.9354
2024-02-25 10:00:00,2005.7647
2024-02-25 12:00:00,2727.1328
2024-02-25 13:00:00,2781.5295
2024-02-25 16:00:00,2029.0572
2024-02-26 03:00:00,2692.6499
2024-02-26 17:00:00,2698.9019
2024-03-01 04:00:00,2017.5687
2024-03-01 06:00:00,2752.6902
2024-03-01 07:00:00,2820.1681
2024-03-01 08:00:00,2715.1876
2024-03-01 20:00:00,2703.1475
2024-03-01 21:00:00,2758.105
2024-03-02 11:00:00,2687.9616
2024-03-04 07:00:00,2691.2331
2024-03-04 22:00:00,2736.1097
2024-03-04 23:00:00,2810.1854
2024-03-05 00:00:00,2722.5252
2024-03-05 11:00:00,1998.4081
2024-03-05 13:00:00,2719.9631
2024-03-05 14:00:00,2807.2306
2024-03-05 15:00:00,2720.9167
2024-03-08 02:00:00,2719.7942
2024-03-13 16:00:00,2025.133
2024-03-18 08:00:00,2692.8186
2024-03-20 20:00:00,2704.4225
2024-03-30 05:00:00,2000.6994
2024-04-11 08:00:00,2050.7022
2024-04-15 05:00:00,2675.3517
2024-04-23 06:00:00,1999.5948
2024-04-24 06:00:00,2669.6589
2024-04-24 07:00:00,2706.2756
2024-04-24 08:00:00,2050.5335
2024-04-27 12:00:00,2664.4003
2024-04-28 04:00:00,2018.5128
2024-04-28 14:00:00,2669.8543
2024-05-03 11:00:00,2768.5681
2024-05-04 13:00:00,2675.8306
2024-05-05 12:00:00,2715.2189
2024-05-05 13:00:00,2797.9506
2024-05-05 14:00:00,2694.2201
2024-05-06 02:00:00,2731.1986
2024-05-07 17:00:00,2680.6229
2024-05-08 06:00:00,2806.1374
2024-05-08 20:00:00,2766.8408
2024-05-08 21:00:00,2708.8561
2024-05-10 18:00:00,2016.6536
2024-05-10 20:00:00,2711.3911
2024-05-10 21:00:00,2777.9056
2024-05-10 22:00:00,2692.0972
2024-05-11 08:00:00,2707.7561
2024-05-11 09:00:00,2769.6178
2024-05-11 10:00:00,2668.1111
2024-05-11 21:00:00,2697.166
2024-05-12 20:00:00,2727.4636
2024-05-12 21:00:00,2790.1867
2024-05-12 22:00:00,2674.0361
2024-05-13 09:00:00,2051.5311
2024-05-13 22:00:00,2702.8226
2024-05-14 11:00:00,2049.9486
2024-05-15 09:00:00,2714.4986
2024-05-15 18:00:00,2006.4703
2024-05-15 20:00:00,2738.9517
2024-05-15 21:00:00,2783.9359
2024-05-15 22:00:00,2676.0733
2024-05-16 18:00:00,2018.1533
2024-05-17 09:00:00,2714.9986
2024-05-17 22:00:00,2012.8019
2024-05-20 07:00:00,2015.4089
2024-05-21 05:00:00,2689.2308
2024-05-23 03:00:00,2847.8031
2024-05-23 04:00:00,2715.8421
2024-05-23 14:00:00,2763.6964
2024-05-23 15:00:00,2830.3296
2024-05-23 16:00:00,2679.2458
2024-05-26 18:00:00,2683.0975
2024-05-26 19:00:00,2748.8261
2024-06-03 02:00:00,2682.9371
2024-06-03 03:00:00,2720.5597
2024-06-04 09:00:00,2666.1872
2024-06-05 17:00:00,2017.5975
2024-06-06 21:00:00,2673.1679
2024-06-07 18:00:00,2003.9314
2024-06-09 06:00:00,2736.0958
2024-06-12 14:00:00,2055.4789
2024-06-14 15:00:00,2017.3037
2024-06-16 13:00:00,2059.14
2024-06-19 00:00:00,2048.6775
2024-06-20 22:00:00,2057.5381
2024-06-22 02:00:00,2054.1839
2024-06-23 16:00:00,2048.625
